I 75
F 5
T 720
M 5
delta 5 
gamma 1
0	5	0	0	720	0	0
1	9.77	6.14	540	600	5	0
2	5.79	3.02	60	120	5	0
3	6.77	8.42	120	180	5	0
4	6.59	8.28	660	720	5	0
5	6.01	6.62	60	120	5	0
6	1.1	8.93	360	420	5	0
7	5.21	9.93	180	240	5	0
8	4.06	6.38	360	420	5	0
9	9.79	4.85	240	300	5	0
10	4.55	8.55	240	300	5	0
11	6.37	0.22	0	60	5	0
12	2.73	3.66	120	180	5	0
13	0.69	4.49	480	540	5	0
14	6.11	7.29	120	180	5	0
15	8.93	9.89	540	600	5	0
16	1.88	5.54	600	660	5	0
17	8.89	8.38	420	480	5	0
18	5.96	5.67	300	360	5	0
19	6.1	5.01	660	720	5	0
20	9.94	7.29	180	240	5	0
21	5.96	0.12	0	60	5	0
22	2.46	5.57	120	180	5	0
23	0.14	1.31	540	600	5	0
24	2.55	3.69	60	120	5	0
25	9.79	5.86	300	360	5	0
26	3.74	5.43	180	240	5	0
27	5.26	2.45	240	300	5	0
28	4.11	2.28	660	720	5	0
29	2.84	9.92	240	300	5	0
30	6.71	2.16	60	120	5	0
31	0.81	0.9	540	600	5	0
32	3.97	6.89	480	540	5	0
33	3.66	6.6	480	540	5	0
34	1.57	1.51	180	240	5	0
35	6.25	0.29	540	600	5	0
36	0.27	5.69	180	240	5	0
37	7.59	9.61	600	660	5	0
38	1.42	1.48	240	300	5	0
39	9.87	8.18	360	420	5	0
40	4.54	6.55	180	240	5	0
41	9.7	3.64	120	180	5	0
42	8.83	8.1	60	120	5	0
43	8.82	5.5	600	660	5	0
44	7.32	5.85	540	600	5	0
45	1.37	4.3	600	660	5	0
46	6	0.58	600	660	5	0
47	1.47	1.61	420	480	5	0
48	3.86	6.44	600	660	5	0
49	4.56	2.9	120	180	5	0
50	5.53	8.66	420	480	5	0
51	1.11	4.68	540	600	5	0
52	1.98	6.81	240	300	5	0
53	6	2.43	60	120	5	0
54	0.37	5.92	0	60	5	0
55	5.83	9.87	360	420	5	0
56	4.48	1.04	0	60	5	0
57	4.88	1.32	660	720	5	0
58	1.54	9.4	240	300	5	0
59	0.42	2.36	120	180	5	0
60	1.97	4.96	120	180	5	0
61	9.37	7.37	600	660	5	0
62	3.41	6.61	420	480	5	0
63	5.47	8.8	420	480	5	0
64	1.71	9.1	300	360	5	0
65	3.74	5.42	120	180	5	0
66	2.57	2.1	480	540	5	0
67	4.12	7.43	60	120	5	0
68	7.7	9.29	600	660	5	0
69	4.8	2.39	600	660	5	0
70	9.26	2.6	60	120	5	0
71	1.7	0.52	480	540	5	0
72	8.81	2.51	120	180	5	0
73	2.69	1.7	600	660	5	0
74	7.81	7.57	240	300	5	0
75	1.02	5.19	120	180	5	0
76	2.5	2.5	0	600	10	15
77	2.5	7.5	0	600	10	15
78	7.5	7.5	0	600	10	20
79	7.5	2.5	0	600	10	15
80	5	5	0	600	10	15
