I 25
F 5
T 720
M 5
delta 5 
gamma 1
0	5	0	0	600	0	0
1	4.51	5.71	300	360	5	0
2	9.22	4.69	240	300	5	0
3	3.45	6.81	240	300	5	0
4	8.44	4.66	660	720	5	0
5	8.52	6.74	300	360	5	0
6	5.15	1.44	540	600	5	0
7	8.36	0.42	480	540	5	0
8	1.63	3.12	0	60	5	0
9	8.55	2.23	240	300	5	0
10	5.98	5.2	420	480	5	0
11	6.05	9.58	120	180	5	0
12	2.48	3.47	0	60	5	0
13	7.48	0.28	660	720	5	0
14	0.57	5.41	480	540	5	0
15	7.61	6.03	600	660	5	0
16	2.87	7.08	540	600	5	0
17	2.27	6.9	300	360	5	0
18	0.87	9.58	600	660	5	0
19	7.66	8.87	120	180	5	0
20	2.42	6.68	360	420	5	0
21	5.59	7.42	240	300	5	0
22	5.64	9.99	480	540	5	0
23	2.95	8.48	540	600	5	0
24	6.11	5.24	660	720	5	0
25	2.73	3.28	60	120	5	0
26	2.5	2.5	0	600	10	5
27	2.5	7.5	0	600	10	5
28	7.5	7.5	0	600	10	5
29	7.5	2.5	0	600	10	5
30	5	5	0	600	10	10
