I 25
F 5
T 720
M 5
delta 5 
gamma 1
0	5	0	0	600	0	0
1	4.87	7.25	60	120	5	0
2	7.38	8.71	0	60	5	0
3	4.43	2.75	660	720	5	0
4	1.39	3.09	120	180	5	0
5	6.62	4.91	300	360	5	0
6	4	2.95	60	120	5	0
7	9.83	4.62	420	480	5	0
8	6.2	0.45	660	720	5	0
9	6.44	9.12	240	300	5	0
10	6.29	1.76	660	720	5	0
11	3.27	9.15	480	540	5	0
12	2.59	6.14	600	660	5	0
13	5.83	2.33	120	180	5	0
14	7.83	0.03	660	720	5	0
15	1.87	2.21	0	60	5	0
16	4.11	9.84	360	420	5	0
17	0.71	3.86	0	60	5	0
18	7.08	4.47	60	120	5	0
19	7.64	6.78	660	720	5	0
20	4.03	6.87	120	180	5	0
21	4.23	7.14	420	480	5	0
22	7.77	8.89	660	720	5	0
23	2.6	7.12	0	60	5	0
24	4.94	9.31	300	360	5	0
25	0.75	8.65	600	660	5	0
26	2.5	2.5	0	600	10	5
27	2.5	7.5	0	600	10	5
28	7.5	7.5	0	600	10	5
29	7.5	2.5	0	600	10	5
30	5	5	0	600	10	10
